C:\Users\aksha\Desktop\Car-ND\IMG\center_2017_04_28_16_17_58_298.jpg,C:\Users\aksha\Desktop\Car-ND\IMG\left_2017_04_28_16_17_58_298.jpg,C:\Users\aksha\Desktop\Car-ND\IMG\right_2017_04_28_16_17_58_298.jpg,0,0,0,5.689663E-06
C:\Users\aksha\Desktop\Car-ND\IMG\center_2017_04_28_16_17_58_383.jpg,C:\Users\aksha\Desktop\Car-ND\IMG\left_2017_04_28_16_17_58_383.jpg,C:\Users\aksha\Desktop\Car-ND\IMG\right_2017_04_28_16_17_58_383.jpg,0,0,0,3.683451E-06
C:\Users\aksha\Desktop\Car-ND\IMG\center_2017_04_28_16_17_58_456.jpg,C:\Users\aksha\Desktop\Car-ND\IMG\left_2017_04_28_16_17_58_456.jpg,C:\Users\aksha\Desktop\Car-ND\IMG\right_2017_04_28_16_17_58_456.jpg,0,0,0,5.093882E-06
C:\Users\aksha\Desktop\Car-ND\IMG\center_2017_04_28_16_17_58_536.jpg,C:\Users\aksha\Desktop\Car-ND\IMG\left_2017_04_28_16_17_58_536.jpg,C:\Users\aksha\Desktop\Car-ND\IMG\right_2017_04_28_16_17_58_536.jpg,0,0,0,8.944543E-06
C:\Users\aksha\Desktop\Car-ND\IMG\center_2017_04_28_16_17_58_603.jpg,C:\Users\aksha\Desktop\Car-ND\IMG\left_2017_04_28_16_17_58_603.jpg,C:\Users\aksha\Desktop\Car-ND\IMG\right_2017_04_28_16_17_58_603.jpg,0,0,0,9.09207E-06
C:\Users\aksha\Desktop\Car-ND\IMG\center_2017_04_28_16_17_58_684.jpg,C:\Users\aksha\Desktop\Car-ND\IMG\left_2017_04_28_16_17_58_684.jpg,C:\Users\aksha\Desktop\Car-ND\IMG\right_2017_04_28_16_17_58_684.jpg,0,0,0,2.144636E-06
C:\Users\aksha\Desktop\Car-ND\IMG\center_2017_04_28_16_17_58_751.jpg,C:\Users\aksha\Desktop\Car-ND\IMG\left_2017_04_28_16_17_58_751.jpg,C:\Users\aksha\Desktop\Car-ND\IMG\right_2017_04_28_16_17_58_751.jpg,0,0,0,2.7355E-06
C:\Users\aksha\Desktop\Car-ND\IMG\center_2017_04_28_16_17_58_821.jpg,C:\Users\aksha\Desktop\Car-ND\IMG\left_2017_04_28_16_17_58_821.jpg,C:\Users\aksha\Desktop\Car-ND\IMG\right_2017_04_28_16_17_58_821.jpg,0,0,0,2.711099E-06
C:\Users\aksha\Desktop\Car-ND\IMG\center_2017_04_28_16_17_58_892.jpg,C:\Users\aksha\Desktop\Car-ND\IMG\left_2017_04_28_16_17_58_892.jpg,C:\Users\aksha\Desktop\Car-ND\IMG\right_2017_04_28_16_17_58_892.jpg,0,0,0,1.597688E-06
C:\Users\aksha\Desktop\Car-ND\IMG\center_2017_04_28_16_17_58_975.jpg,C:\Users\aksha\Desktop\Car-ND\IMG\left_2017_04_28_16_17_58_975.jpg,C:\Users\aksha\Desktop\Car-ND\IMG\right_2017_04_28_16_17_58_975.jpg,0,0,0,3.250092E-06
